 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
Db mixolydian (5b), 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 1, 3, 0, 3, 2, 0, 2, 1, 1, 0, 2, 0, 29
B mixolydian (5#), 0, 1, 0, 4, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 3, 0, 3, 1, 0, 4, 1, 0, 0, 1, 0, 28
Db aeolian (5b), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
B aeolian (5#), 1, 2, 0, 2, 2, 0, 1, 1, 3, 4, 1, 1, 2, 0, 0, 1, 4, 0, 3, 2, 0, 2, 2, 0, 1, 2, 0, 37
Db locrian (5b), 0, 0, 2, 0, 2, 2, 1, 1, 4, 4, 0, 1, 4, 0, 0, 0, 2, 1, 3, 0, 2, 0, 2, 2, 1, 5, 0, 39
B locrian (5#), 1, 2, 2, 2, 2, 3, 3, 3, 3, 6, 1, 0, 3, 1, 1, 0, 2, 1, 4, 2, 2, 2, 2, 3, 3, 6, 1, 61
Gb major (6b), 1, 5, 2, 3, 2, 4, 2, 4, 3, 6, 1, 0, 2, 1, 1, 0, 0, 0, 5, 5, 2, 3, 2, 4, 2, 7, 1, 68
F# major (6#), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
Eb minor (6b), 0, 1, 1, 2, 0, 2, 1, 2, 1, 5, 1, 0, 2, 1, 1, 1, 3, 0, 3, 1, 1, 2, 0, 2, 1, 4, 1, 39
D# minor (6#), 0, 1, 2, 1, 1, 2, 2, 2, 2, 5, 1, 0, 3, 1, 1, 0, 2, 1, 4, 1, 2, 1, 1, 2, 2, 5, 1, 46
Eb minor mel (6b), 0, 2, 1, 2, 2, 2, 1, 2, 3, 4, 1, 1, 3, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 4, 0, 48
D# minor mel (6#), 0, 2, 1, 2, 2, 2, 1, 2, 3, 5, 1, 1, 4, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 5, 0, 51
Gb major blues (6b), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
F# major blues (6#), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
