 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
B lydian (5#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
Db mixolydian (5b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 0, 0, 22
B mixolydian (5#), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9
Db aeolian (5b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
B aeolian (5#), 1, 0, 1, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 4, 1, 1, 29
Db locrian (5b), 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 2, 1, 2, 0, 2, 0, 0, 25
B locrian (5#), 4, 1, 4, 1, 4, 1, 5, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 4, 1, 4, 1, 5, 1, 1, 57
Gb major (6b), 6, 2, 6, 2, 4, 1, 5, 1, 6, 1, 1, 2, 1, 4, 2, 2, 1, 1, 6, 2, 6, 2, 4, 1, 5, 1, 1, 76
F# major (6#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
Eb minor (6b), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 0, 0, 15
D# minor (6#), 2, 1, 2, 1, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0, 4, 0, 0, 28
Eb minor mel (6b), 2, 2, 2, 2, 2, 0, 5, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 5, 0, 0, 35
