 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
Gb major (6b), 2, 2, 2, 3, 2, 2, 1, 1, 1, 0, 3, 1, 1, 0, 3, 3, 2, 2, 2, 3, 2, 2, 1, 1, 42
F# major (6#), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
Eb minor (6b), 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 37
D# minor (6#), 2, 1, 2, 2, 2, 2, 3, 2, 1, 2, 3, 1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 1, 43
Eb minor mel (6b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
D# minor mel (6#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
Gb major blues (6b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
F# major blues (6#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
Eb minor blues (6b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
D# minor blues (6#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
Gb dorian (6b), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
F# dorian (6#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10
Gb phrygian (6b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
F# phrygian (6#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
Gb lydian (6b), 6, 0, 3, 4, 6, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 4, 6, 0, 3, 4, 6, 0, 0, 0, 48
F# lydian (6#), 3, 0, 2, 2, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 3, 0, 2, 2, 3, 0, 0, 0, 25
Gb mixolydian (6b), 7, 1, 2, 4, 7, 1, 3, 1, 1, 0, 3, 0, 1, 0, 3, 4, 7, 1, 2, 4, 7, 1, 0, 0, 60
F# mixolydian (6#), 4, 1, 1, 2, 4, 1, 2, 1, 1, 0, 2, 0, 1, 0, 2, 2, 4, 1, 1, 2, 4, 1, 0, 0, 37
Gb aeolian (6b), 6, 1, 2, 4, 6, 1, 2, 0, 1, 0, 3, 0, 1, 0, 3, 4, 6, 1, 2, 4, 6, 1, 0, 0, 54
F# aeolian (6#), 3, 1, 1, 2, 3, 1, 1, 0, 1, 0, 2, 0, 1, 0, 2, 2, 3, 1, 1, 2, 3, 1, 0, 0, 31
Gb locrian (6b), 5, 2, 3, 5, 5, 2, 3, 2, 1, 0, 4, 1, 1, 0, 4, 5, 5, 2, 3, 5, 5, 2, 1, 1, 67
F# locrian (6#), 3, 2, 2, 3, 3, 2, 2, 2, 1, 0, 3, 1, 1, 0, 3, 3, 3, 2, 2, 3, 3, 2, 1, 1, 48
Cb major (7b), 7, 2, 2, 4, 7, 3, 3, 1, 3, 0, 4, 0, 3, 0, 4, 4, 7, 2, 2, 4, 7, 2, 0, 0, 71
C# major (7#), 4, 0, 2, 3, 4, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 3, 4, 0, 2, 3, 4, 0, 0, 0, 33
Ab minor (7b), 4, 1, 1, 1, 4, 1, 1, 1, 1, 0, 3, 0, 1, 0, 3, 1, 4, 1, 1, 1, 4, 1, 0, 0, 35
A# minor (7#), 4, 0, 3, 4, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 3, 4, 4, 0, 0, 0, 36
Ab minor mel (7b), 3, 1, 1, 1, 3, 1, 0, 0, 1, 0, 3, 0, 1, 0, 3, 1, 3, 1, 1, 1, 3, 1, 0, 0, 29
A# minor mel (7#), 2, 0, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 3, 2, 2, 0, 0, 0, 20
Cb major blues (7b), 7, 3, 3, 5, 7, 4, 3, 2, 3, 1, 5, 1, 3, 1, 5, 5, 7, 3, 3, 5, 7, 3, 1, 1, 88
C# major blues (7#), 6, 0, 3, 4, 6, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 4, 6, 0, 3, 4, 6, 0, 0, 0, 48
Ab minor blues (7b), 3, 0, 2, 2, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 3, 0, 2, 2, 3, 0, 0, 0, 25
A# minor blues (7#), 7, 1, 2, 4, 7, 1, 3, 1, 1, 0, 3, 0, 1, 0, 3, 4, 7, 1, 2, 4, 7, 1, 0, 0, 60
Cb dorian (7b), 4, 1, 1, 2, 4, 1, 2, 1, 1, 0, 2, 0, 1, 0, 2, 2, 4, 1, 1, 2, 4, 1, 0, 0, 37
C# dorian (7#), 6, 1, 2, 4, 6, 1, 2, 0, 1, 0, 3, 0, 1, 0, 3, 4, 6, 1, 2, 4, 6, 1, 0, 0, 54
Cb phrygian (7b), 3, 1, 1, 2, 3, 1, 1, 0, 1, 0, 2, 0, 1, 0, 2, 2, 3, 1, 1, 2, 3, 1, 0, 0, 31
